iter	RMSE
238	0.204900267
239	0.2048798101
240	0.2046393641
241	0.2045746367
242	0.2045581095
243	0.204527155
244	0.2042199654
245	0.2038208888
246	0.2035818533
247	0.2033811992
248	0.2032350672
249	0.2032193612
250	0.2032066039
251	0.2030015005
252	0.2026555258
253	0.2026417856
254	0.2026147048
255	0.2022712686
256	0.2022577143
257	0.2022411405
258	0.2018696048
259	0.2017993158
260	0.2016470346
261	0.2014241308
262	0.2010783909
263	0.2008699861
264	0.200575234
265	0.2005492634
266	0.2004060227
267	0.200391968
268	0.2002739547
269	0.200262206
270	0.2001472201
271	0.2000540927
272	0.2000427526
273	0.19976778
274	0.1995621947
275	0.1995136883
276	0.1993090686
277	0.1992922407
278	0.1990504229
279	0.1990213175
280	0.1989766589
281	0.1988761943
282	0.198536834
283	0.1984069114
284	0.198279223
285	0.1982579417
286	0.1982518016
287	0.1982006929
288	0.1981728935
289	0.1979303218
290	0.1978727919
291	0.1977790887
292	0.1975345787
293	0.1972362354
294	0.1972252266
295	0.1971918355
296	0.1970209224
297	0.1970087181
298	0.1969960871
299	0.1966974386
300	0.1965730865
301	0.1963564962
302	0.1959079155
303	0.195878846
304	0.1956977041
305	0.1954037028
306	0.1953944166
307	0.195211125
308	0.1950235769
309	0.1949876298
310	0.1949767267
311	0.1947410694
312	0.1946579442
313	0.1945044674
314	0.1942254641
315	0.1941618637
316	0.1940004735
317	0.1939732558
318	0.1937748791
319	0.1937664224
320	0.1935715312
321	0.1933284943
322	0.1932645822
323	0.1932066384
324	0.1931634611
325	0.1930466241
326	0.1930361517
327	0.1928863064
328	0.1927177267
329	0.192415784
330	0.192247781
331	0.1920595729
332	0.1918125999
333	0.1914995038
334	0.1913141931
335	0.1910850036
336	0.1909221715
337	0.1907730382
338	0.1907656713
339	0.1907535103
340	0.1905139707
341	0.1903636212
342	0.1898845934
343	0.1897813266
344	0.1895670783
345	0.1893369189
346	0.189205939
347	0.1888899643
348	0.1886966082
349	0.1884798077
350	0.1884104358
351	0.188065381
352	0.1879566532
353	0.1878231819
354	0.1876740231
355	0.1875843164
356	0.1872794453
357	0.1872588216
358	0.1870908031
359	0.187011214
360	0.1869858744
361	0.1867082416
362	0.1866974496
363	0.1866922728
364	0.1865881097
365	0.1864320204
366	0.1862337167
367	0.1860440541
368	0.1860376816
369	0.1858518062
370	0.1858455387
371	0.1857222144
372	0.1856015273
373	0.1853139918
374	0.1849778808
375	0.1848792879
376	0.1846541303
377	0.1844633152
378	0.1843395676
379	0.1842192804
380	0.1840838914
381	0.1840273151
382	0.1837233368
383	0.183716556
384	0.1835426863
385	0.1835250808
386	0.1834532502
387	0.183238969
388	0.1831064839
389	0.1830035613
390	0.1829980783
391	0.1829159963
392	0.1828213955
393	0.1826668491
394	0.1825371609
395	0.182480086
396	0.1823186077
397	0.1821269316
398	0.1819892356
399	0.1818837682
400	0.181736478
401	0.1816463047
402	0.1813733005
403	0.1813223262
404	0.1812633434
405	0.1811544798
406	0.1811289289
407	0.1810024329
408	0.1809178131
409	0.1807247029
410	0.180707262
411	0.1806920858
412	0.1804924992
413	0.1803508362
414	0.1802909605
415	0.1801897159
416	0.1799866928
417	0.1798448502
418	0.1798223668
419	0.1797599768
420	0.179734519
421	0.1797247623
422	0.1795903796
423	0.1794814449
424	0.1794344552
425	0.1793754029
426	0.1792946546
427	0.1792178217
428	0.1790516601
429	0.1789683016
430	0.1789442571
431	0.1787408622
432	0.1787249271
433	0.1785352353
434	0.1783733998
435	0.1783325771
436	0.1782710845
437	0.1782329701
438	0.1782012854
439	0.1780110439
440	0.1779489071
441	0.1778493745
442	0.1776518218
443	0.1775783329
444	0.1774912986
445	0.1774294863
446	0.1774203096
447	0.1772328309
448	0.1771090099
449	0.1769695312
450	0.1768974475
451	0.1768390747
452	0.176725018
453	0.176632931
454	0.1766231596
455	0.1765776433
456	0.1765073803
457	0.1764980835
458	0.1764867279
459	0.1764780215
460	0.1764261351
461	0.1763387744
462	0.1762587832
463	0.1761067718
464	0.1759377352
465	0.1757846408
466	0.1756949718
467	0.1755859278
468	0.1755369326
469	0.1754666104
470	0.1752504751
471	0.1752410403
472	0.1751621183
473	0.175159548
474	0.1751441101
475	0.1751407105
476	0.1750922179
477	0.1749832418
478	0.174832151
479	0.1746126328
480	0.1745484344
481	0.1745193744
482	0.1743333002
483	0.1741288015
484	0.1740253599
485	0.1739403634
486	0.1738561331
487	0.1738147198
488	0.173656366
489	0.1735919171
490	0.1735809668
491	0.1734064695
492	0.173307373
493	0.173245754
494	0.1731843305
495	0.1731769416
496	0.1730216903
497	0.1727881936
498	0.172691755
499	0.1726359345
500	0.1725403455
501	0.1725234566
502	0.1724186919
503	0.1722691476
504	0.1721748041
505	0.1720820153
506	0.1720414284
507	0.172039156
508	0.1719747082
509	0.1719312563
510	0.1718518662
511	0.1717582304
512	0.1716544701
513	0.171410443
514	0.1713971777
515	0.1713382214
516	0.1712220766
517	0.171156734
518	0.1710484533
519	0.1709455291
520	0.1708700241
521	0.1707436284
522	0.1706864801
523	0.1704883651
524	0.1702701017
525	0.170141809
526	0.1700297085
527	0.170010176
528	0.16991802
529	0.1698502747
530	0.1698236736
531	0.1697178403
532	0.1696012496
533	0.1695983832
534	0.1695767342
535	0.1694697251
536	0.1694213032
537	0.1693543396
538	0.1692928117
539	0.1692033026
540	0.1691548042
541	0.1690574393
542	0.1690009983
543	0.1689528523
544	0.1688917481
545	0.1688141553
546	0.1686926131
547	0.1686900144
548	0.1685587067
549	0.1684548091
550	0.1683789916
551	0.1683057974
552	0.1681652711
553	0.1681382417
554	0.1681120694
555	0.1679503523
556	0.1678601209
557	0.1678580488
558	0.1678460041
559	0.1677968397
560	0.1677547131
561	0.1677182688
562	0.1676366771
563	0.1676017698
564	0.1674863333
565	0.1674399822
566	0.1673073949
567	0.1671839583
568	0.167119426
569	0.1670990172
570	0.1670414698
571	0.1669580032
572	0.1668348511
573	0.1668326827
574	0.1666717261
575	0.1665698535
576	0.1664956852
577	0.1664732352
578	0.1664094703
579	0.1663257131
580	0.1662711987
581	0.1661946634
582	0.1661927286
583	0.166124589
584	0.1660765483
585	0.1660196174
586	0.1658923385
587	0.165877161
588	0.165745232
589	0.1656265135
590	0.1655721277
591	0.1655419092
592	0.1653424293
593	0.1653026801
594	0.1652713598
595	0.1651499829
596	0.165092153
597	0.1650870548
598	0.1649858262
599	0.1649329313
600	0.164848513
601	0.1646852251
602	0.1646131143
603	0.1645383791
604	0.1643979466
605	0.1643909111
606	0.164320032
607	0.1642159215
608	0.1642141822
609	0.164131412
610	0.1639637202
611	0.1639620392
612	0.1639186438
613	0.1638641617
614	0.1638028075
615	0.1637212953
616	0.1636225091
617	0.1635674882
618	0.163496795
619	0.1634495121
620	0.163424368
621	0.1633995815
622	0.1632718193
623	0.1632702055
624	0.1631813679
625	0.163014942
626	0.1629784902
627	0.1629513295
628	0.1629494572
629	0.1629406836
630	0.1628602462
631	0.1628060588
632	0.1627507723
633	0.1627491613
634	0.1626670729
635	0.1625429083
636	0.1625132153
637	0.1624710479
638	0.1624005581
639	0.1623304844
640	0.16224119
641	0.162225224
642	0.1621786549
643	0.1621323814
644	0.1619353466
645	0.161884073
646	0.1618428247
647	0.1618230278
648	0.1617901061
649	0.1617083918
650	0.1616404331
651	0.1615815576
652	0.1615572523
653	0.1615195641
654	0.1615016953
655	0.1614912256
656	0.1614242156
657	0.1614225971
658	0.1613290679
659	0.1612551895
660	0.1612537001
661	0.1612134964
662	0.1612120465
663	0.1611525295
664	0.1611102277
665	0.1610230522
666	0.1610204818
667	0.1609797093
668	0.1608452514
669	0.1607725391
670	0.16068239
671	0.1606245485
672	0.1605910661
673	0.1605387429
674	0.1604316739
675	0.1603737293
676	0.1603358174
677	0.1602486706
678	0.1602329545
679	0.1602115816
680	0.1601621391
681	0.1601607106
682	0.1601368514
683	0.1601224245
684	0.1600805149
685	0.1600325316
686	0.160009117
687	0.1599703677
688	0.1599273995
689	0.1598694172
690	0.159817735
691	0.1597814214
692	0.1597578783
693	0.1596389552
694	0.1595510993
695	0.1594833041
696	0.159443362
697	0.1593696801
698	0.1593360239
699	0.1592640839
700	0.1592113303
701	0.1591478554
702	0.1590379518
703	0.158988402
704	0.1589122304
705	0.1588231351
706	0.1586889815
707	0.1586852102
708	0.1586306608
709	0.15858145
710	0.1585657263
711	0.1584186192
712	0.1583539242
713	0.1582471162
714	0.1580673147
715	0.1580485327
716	0.1580344939
717	0.1579618829
718	0.1578805083
719	0.1578276179
720	0.1577653996
721	0.1577618275
722	0.1577294557
723	0.1576983587
724	0.1576713719
725	0.1576597626
726	0.157644299
727	0.1575760438
728	0.1575605628
729	0.1574858406
730	0.1574357976
731	0.1573707461
732	0.1573387235
733	0.1573309288
734	0.1572495084
735	0.1571256766
736	0.1570662219
737	0.1570071516
738	0.1569496082
739	0.1569369774
740	0.1569346006
741	0.1568783709
742	0.1568497306
743	0.1568397846
744	0.1567992546
745	0.1567806037
746	0.1567404004
747	0.1565771082
748	0.1565016362
749	0.1564481961
750	0.1563997299
751	0.1563240837
752	0.1562914405
753	0.156288271
754	0.156195411
755	0.1560998097
756	0.1560769021
757	0.1560754485
758	0.1560558997
759	0.1560536741
760	0.1560270663
761	0.1559865246
762	0.1559375561
763	0.1558266005
764	0.1558203742
765	0.1557917704
766	0.1557729182
767	0.1556381083
768	0.155630877
769	0.1555651209
770	0.1555084919
771	0.1555055317
772	0.1554224485
773	0.1553733753
774	0.155213897
775	0.1552075985
776	0.1551951415
777	0.1551045654
778	0.1550598402
779	0.1549890072
780	0.1549463721
781	0.1548914573
782	0.1548860035
783	0.1548033819
784	0.1547337998
785	0.1546806105
786	0.1546445377
787	0.1546107367
788	0.154578891
789	0.1545681965
790	0.1545341571
791	0.1545158933
792	0.154463194
793	0.1544411045
794	0.1543873991
795	0.154323327
796	0.1542186531
797	0.154215894
798	0.1541847763
799	0.1541165923
800	0.1540672923
801	0.1539816109
802	0.1539177306
803	0.1538672307
804	0.1538432816
805	0.1537972635
806	0.1537961332
807	0.1537605476
808	0.1536931541
809	0.1536444489
810	0.153608079
811	0.1535762765
812	0.1535296375
813	0.153498702
814	0.1534765796
815	0.1534634224
816	0.1533895322
817	0.153331928
818	0.1532517761
819	0.1531442519
820	0.1530901708
821	0.1530529422
822	0.1530291929
823	0.1529665709
824	0.1529447461
825	0.1529323436
826	0.1529081965
827	0.1528899648
828	0.1528508899
829	0.152763023
830	0.1526894437
831	0.1526711468
832	0.1525515209
833	0.1525393642
834	0.1524574991
835	0.1524482029
836	0.1524472432
837	0.1524427183
838	0.15239843
839	0.1522885723
840	0.1522047666
841	0.1521830573
842	0.1521704939
843	0.1521675657
844	0.1520933205
845	0.152073372
846	0.1520539589
847	0.1520228889
848	0.1519711616
849	0.1518544669
850	0.1518063998
851	0.1517881681
852	0.1517031588
853	0.151702175
854	0.1517008216
855	0.1516498573
856	0.1516227835
857	0.151614642
858	0.1515725328
859	0.1514948173
860	0.1514454401
861	0.1513845672
862	0.1513274334
863	0.1512915312
864	0.151144592
865	0.1511436884
866	0.1511080478
867	0.1510750838
868	0.1510742382
869	0.1510734197
870	0.1510436462
871	0.1509472698
872	0.1509305385
873	0.1507775932
874	0.1507617737
875	0.1507259637
876	0.1506594936
877	0.1505292371
878	0.1504653048
879	0.1504628488
880	0.1504563015
881	0.1503956255
882	0.1503297206
883	0.1503069217
884	0.1502666339
885	0.1502242268
886	0.1501655357
887	0.1501437591
888	0.1501057765
889	0.1500754714
890	0.1499945019
891	0.1499935971
892	0.1499473241
893	0.1498966693
894	0.1498309321
895	0.1496898116
896	0.1496316166
897	0.1496307095
898	0.1495944902
899	0.1495659821
900	0.1495430024
901	0.1495296314
902	0.1494577493
903	0.1494364306
904	0.1493878444
905	0.1493346591
906	0.1492897586
907	0.1491592256
908	0.149131958
909	0.149068848
910	0.1490375554
911	0.1490040331
912	0.1489974422
913	0.1489784338
914	0.1488480145
915	0.1487934506
916	0.148751109
917	0.1487137578
918	0.1486122451
919	0.1485153782
920	0.1484882823
921	0.1484520454
922	0.1484261792
923	0.1484097957
924	0.1483888653
925	0.1482474834
926	0.1481732762
927	0.1481191615
928	0.1481079423
929	0.1480377272
930	0.1479490376
931	0.1478853827
932	0.1477231603
933	0.1476873886
934	0.1476255829
935	0.1476018122
936	0.147564716
937	0.1474697081
938	0.1474113427
939	0.1473022485
940	0.1472391552
941	0.1472164069
942	0.1471636915
943	0.1471077997
944	0.1470702663
945	0.1470482601
946	0.1470425621
947	0.1469552934
948	0.1468610778
949	0.1468175111
950	0.1468168123
951	0.146797162
952	0.1467745112
953	0.146772399
954	0.1466288426
955	0.1465163879
956	0.1464321138
957	0.1464201413
958	0.1463612603
959	0.1463410928
960	0.1462774767
961	0.1462067369
962	0.1461865553
963	0.1461091903
964	0.1460395597
965	0.1460141208
966	0.1460134516
967	0.1459075726
968	0.1458850947
969	0.1458548206
970	0.14581556
971	0.1456721042
972	0.1456401588
973	0.145636323
974	0.145605586
975	0.145583033
976	0.1454903879
977	0.1454827711
978	0.1454000779
979	0.1453553596
980	0.1453376016
981	0.1452771067
982	0.1452171321
983	0.1451672593
984	0.1451160093
985	0.1450757815
986	0.1450358323
987	0.1449981491
988	0.1449728595
989	0.1449294345
990	0.1448881609
991	0.1448469308
992	0.1448279685
993	0.1448244157
994	0.1447914634
995	0.1447717737
996	0.1446988405
997	0.1446740422
998	0.1446628246
999	0.144601726
