iter	Passed	Remaining
401	15772	23462
402	15803	23411
403	15835	23361
404	15879	23329
405	15946	23331
406	16026	23351
407	16094	23352
408	16164	23358
409	16231	23357
410	16298	23357
411	16363	23353
412	16414	23329
413	16463	23303
414	16513	23277
415	16556	23243
416	16602	23211
417	16646	23177
418	16688	23140
419	16720	23090
420	16754	23042
421	16791	22999
422	16840	22971
423	16877	22927
424	16927	22902
425	17025	22939
426	17136	22995
427	17219	23012
428	17311	23042
429	17377	23035
430	17437	23020
431	17493	23001
432	17573	23011
433	17633	22997
434	17696	22984
435	17750	22961
436	17812	22948
437	17865	22923
438	17913	22891
439	17949	22844
440	17981	22792
441	18014	22742
442	18048	22692
443	18078	22638
444	18109	22585
445	18145	22539
446	18185	22498
447	18232	22464
448	18267	22417
449	18303	22371
450	18342	22328
451	18376	22278
452	18411	22232
453	18442	22179
454	18483	22139
455	18514	22087
456	18544	22034
457	18575	21982
458	18622	21949
459	18663	21909
460	18694	21857
461	18741	21824
462	18779	21780
463	18813	21732
464	18844	21681
465	18878	21632
466	18956	21635
467	19086	21696
468	19215	21755
469	19312	21778
470	19381	21768
471	19441	21747
472	19491	21716
473	19535	21678
474	19572	21632
475	19638	21619
476	19684	21583
477	19729	21545
478	19779	21513
479	19824	21476
480	19863	21433
481	19895	21381
482	19927	21329
483	19956	21276
484	19987	21223
485	20021	21175
486	20061	21132
487	20094	21082
488	20128	21033
489	20160	20983
490	20196	20936
491	20268	20928
492	20332	20909
493	20405	20901
494	20463	20877
495	20539	20871
496	20657	20907
497	20709	20875
498	20760	20843
499	20820	20820
500	20899	20816
501	20986	20819
502	21039	20788
503	21072	20737
504	21106	20688
505	21138	20637
506	21169	20584
507	21201	20533
508	21235	20484
509	21267	20433
510	21313	20396
511	21346	20346
512	21387	20303
513	21454	20285
514	21535	20281
515	21647	20304
516	21749	20318
517	21817	20300
518	21883	20281
519	21950	20261
520	22003	20229
521	22061	20201
522	22109	20164
523	22151	20122
524	22186	20073
525	22221	20024
526	22252	19972
527	22282	19919
528	22325	19877
529	22355	19824
530	22384	19771
531	22416	19719
532	22448	19668
533	22497	19632
534	22550	19600
535	22591	19556
536	22665	19542
537	22729	19518
538	22777	19481
539	22833	19450
540	22893	19423
541	22932	19378
542	22968	19330
543	23004	19283
544	23047	19241
545	23077	19189
546	23119	19146
547	23149	19093
548	23193	19053
549	23225	19002
550	23255	18950
551	23289	18901
552	23320	18850
553	23350	18798
554	23382	18747
555	23412	18696
556	23447	18648
557	23479	18598
558	23511	18548
559	23548	18502
560	23583	18455
561	23647	18429
562	23686	18385
563	23722	18338
564	23757	18291
565	23801	18250
566	23835	18202
567	23911	18186
568	23958	18148
569	24034	18131
570	24081	18093
571	24125	18051
572	24167	18010
573	24212	17969
574	24258	17929
575	24299	17887
576	24338	17842
577	24368	17791
578	24398	17740
579	24430	17690
580	24461	17641
581	24494	17592
582	24528	17544
583	24570	17502
584	24631	17473
585	24666	17426
586	24698	17377
587	24728	17326
588	24759	17277
589	24791	17227
590	24822	17178
591	24851	17127
592	24884	17079
593	24922	17034
594	24953	16984
595	24984	16936
596	25022	16891
597	25053	16842
598	25084	16792
599	25120	16747
600	25153	16699
601	25185	16650
602	25217	16602
603	25248	16553
604	25279	16504
605	25311	16456
606	25343	16408
607	25373	16359
608	25404	16310
609	25434	16261
610	25465	16212
611	25504	16169
612	25536	16121
613	25575	16078
614	25633	16046
615	25677	16006
616	25709	15959
617	25740	15910
618	25771	15862
619	25805	15816
620	25852	15777
621	25881	15728
622	25911	15679
623	25941	15631
624	25972	15583
625	26013	15541
626	26059	15502
627	26111	15467
628	26144	15420
629	26185	15378
630	26216	15330
631	26248	15283
632	26281	15237
633	26332	15201
634	26366	15155
635	26400	15109
636	26436	15064
637	26477	15023
638	26511	14977
639	26544	14931
640	26576	14884
641	26632	14851
642	26666	14805
643	26702	14761
644	26735	14715
645	26775	14672
646	26806	14625
647	26838	14578
648	26885	14540
649	26917	14494
650	26947	14446
651	26980	14400
652	27028	14362
653	27067	14320
654	27108	14278
655	27139	14231
656	27188	14194
657	27227	14151
658	27277	14114
659	27320	14074
660	27352	14027
661	27382	13981
662	27414	13934
663	27482	13906
664	27546	13877
665	27624	13853
666	27675	13816
667	27735	13784
668	27775	13742
669	27823	13704
670	27854	13657
671	27886	13611
672	27917	13564
673	27963	13525
674	27996	13479
675	28026	13433
676	28060	13387
677	28097	13344
678	28136	13301
679	28167	13255
680	28204	13211
681	28244	13169
682	28273	13122
683	28304	13076
684	28344	13034
685	28390	12994
686	28420	12948
687	28454	12903
688	28485	12857
689	28517	12812
690	28547	12765
691	28604	12731
692	28644	12689
693	28673	12642
694	28709	12599
695	28743	12554
696	28777	12510
697	28807	12464
698	28849	12423
699	28901	12386
700	28943	12345
701	28994	12308
702	29030	12264
703	29068	12221
704	29116	12183
705	29157	12142
706	29196	12099
707	29232	12056
708	29278	12016
709	29312	11972
710	29346	11928
711	29378	11883
712	29409	11838
713	29448	11795
714	29481	11751
715	29524	11710
716	29556	11665
717	29607	11628
718	29647	11587
719	29685	11544
720	29717	11499
721	29776	11465
722	29844	11434
723	29910	11402
724	29979	11371
725	30043	11338
726	30126	11312
727	30189	11279
728	30243	11242
729	30297	11205
730	30345	11166
731	30383	11123
732	30415	11079
733	30446	11033
734	30479	10989
735	30511	10944
736	30542	10899
737	30573	10854
738	30632	10818
739	30671	10776
740	30728	10740
741	30800	10709
742	30863	10675
743	30926	10641
744	31003	10612
745	31051	10572
746	31109	10536
747	31159	10497
748	31200	10455
749	31234	10411
750	31301	10378
751	31367	10344
752	31436	10311
753	31505	10279
754	31628	10263
755	31685	10226
756	31732	10186
757	31780	10146
758	31814	10101
759	31847	10057
760	31878	10011
761	31911	9967
762	31942	9921
763	31978	9878
764	32015	9834
765	32095	9804
766	32161	9770
767	32216	9732
768	32251	9688
769	32297	9647
770	32328	9602
771	32360	9557
772	32390	9511
773	32432	9470
774	32497	9434
775	32540	9393
776	32584	9351
777	32699	9330
778	32741	9288
779	32798	9250
780	32830	9205
781	32862	9161
782	32893	9115
783	32924	9070
784	32959	9027
785	32992	8982
786	33023	8937
787	33053	8892
788	33109	8854
789	33161	8814
790	33222	8778
791	33291	8743
792	33356	8707
793	33422	8671
794	33495	8637
795	33568	8603
796	33724	8589
797	33824	8562
798	33938	8537
799	33996	8499
800	34054	8460
801	34095	8417
802	34139	8375
803	34182	8332
804	34226	8290
805	34268	8248
806	34300	8203
807	34329	8157
808	34359	8112
809	34390	8067
810	34427	8023
811	34457	7977
812	34491	7933
813	34540	7892
814	34585	7850
815	34648	7812
816	34690	7770
817	34729	7726
818	34768	7683
819	34808	7640
820	34843	7596
821	34883	7553
822	34919	7510
823	34955	7466
824	34999	7424
825	35039	7381
826	35079	7338
827	35119	7295
828	35160	7252
829	35197	7209
830	35229	7164
831	35258	7119
832	35289	7074
833	35322	7030
834	35354	6986
835	35385	6941
836	35421	6898
837	35452	6853
838	35484	6809
839	35513	6764
840	35549	6720
841	35580	6676
842	35634	6636
843	35665	6592
844	35695	6547
845	35725	6503
846	35756	6458
847	35787	6414
848	35818	6370
849	35848	6326
850	35880	6282
851	35926	6240
852	35958	6196
853	35989	6152
854	36019	6108
855	36053	6065
856	36083	6020
857	36117	5977
858	36154	5934
859	36187	5890
860	36227	5848
861	36258	5804
862	36291	5761
863	36322	5717
864	36353	5673
865	36384	5629
866	36414	5586
867	36443	5542
868	36473	5498
869	36510	5455
870	36543	5412
871	36572	5368
872	36618	5327
873	36659	5284
874	36703	5243
875	36734	5199
876	36765	5156
877	36796	5112
878	36829	5069
879	36862	5026
880	36908	4985
881	36941	4942
882	36972	4898
883	37018	4857
884	37050	4814
885	37080	4771
886	37112	4728
887	37145	4684
888	37179	4642
889	37213	4599
890	37247	4556
891	37287	4514
892	37320	4471
893	37351	4428
894	37384	4385
895	37436	4345
896	37491	4305
897	37533	4263
898	37580	4222
899	37667	4185
900	37717	4144
901	37758	4102
902	37812	4061
903	37844	4018
904	37875	3975
905	37906	3932
906	37938	3890
907	37971	3847
908	38002	3804
909	38032	3761
910	38075	3719
911	38110	3677
912	38145	3634
913	38185	3592
914	38229	3551
915	38269	3509
916	38308	3467
917	38341	3424
918	38378	3382
919	38419	3340
920	38458	3298
921	38494	3256
922	38529	3214
923	38562	3171
924	38618	3131
925	38656	3089
926	38696	3047
927	38734	3005
928	38791	2964
929	38854	2924
930	38903	2883
931	38947	2841
932	38986	2799
933	39024	2757
934	39062	2715
935	39095	2673
936	39126	2630
937	39157	2588
938	39191	2545
939	39222	2503
940	39252	2461
941	39285	2418
942	39331	2377
943	39362	2335
944	39410	2293
945	39456	2252
946	39487	2209
947	39519	2167
948	39549	2125
949	39580	2083
950	39631	2042
951	39677	2000
952	39709	1958
953	39741	1916
954	39772	1874
955	39805	1832
956	39838	1790
957	39870	1747
958	39902	1705
959	39958	1664
960	39989	1622
961	40022	1580
962	40055	1538
963	40088	1497
964	40119	1455
965	40150	1413
966	40203	1371
967	40240	1330
968	40271	1288
969	40303	1246
970	40332	1204
971	40367	1162
972	40399	1121
973	40431	1079
974	40462	1037
975	40492	995
976	40523	953
977	40564	912
978	40610	871
979	40647	829
980	40687	788
981	40718	746
982	40748	704
983	40778	663
984	40819	621
985	40849	580
986	40883	538
987	40977	497
988	41014	456
989	41045	414
990	41076	373
991	41110	331
992	41141	290
993	41172	248
994	41204	207
995	41236	165
996	41276	124
997	41307	82
998	41337	41
999	41369	0
